player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Randy Livingston,livinra01,2684,2.4,-0.2,0,0,Rotational
Randy Mahaffey,mahafra01,11942,19.4,0,1,0,All-Star
Randy Smith,smithra01,32850,62.5,16.2,2,1,All-Star
Randy Stoll,stollra01,403,0.3,0,0,0,Rotational
Randy White,whitera01,5382,1.9,-4,0,0,Rotational
Randy Wittman,wittmra01,12714,17.900000000000002,1.6999999999999997,0,0,Starter
Randy Woods,woodsra01,1093,0.7,0.2,0,0,Rotational
Rashad McCants,mccanra01,6138,4.2,0.3999999999999999,0,0,Rotational
Rashad Vaughn,vaughra01,1883,-0.4,-1.2,0,0,Rotational
Rashard Lewis,lewisra02,35365,93.9,33.699999999999996,2,0,All-Star
Rasheed Wallace,wallara01,38633,111.3,41,4,2,Superstar
Rasheer Fleming,flemira01,673,0.8,-0.3,0,0,Rotational
Rasho Nesterović,nestera01,17983,39.9,5,0,0,Starter
Rastko Cvetković,cvetkra01,48,-0.1,-0.1,0,0,Rotational
Rasual Butler,butlera01,17989,20.8,2,0,0,Starter
Ratko Varda,vardara01,6,0,0,0,0,Rotational
Raul Neto,netora01,6765,11.5,0.8,0,0,Rotational
Rawle Alkins,alkinra01,120,-0.1,-0.2,0,0,Rotational
Rawle Marshall,marshra01,602,0.2,-0.2,0,0,Rotational
Ray Allen,allenra02,49224,154.3,61.6,10,2,Superstar
Ray Blume,blumera01,546,-0.1,-0.3,0,0,Rotational
Ray Corley,corlera01,65,0.7999999999999999,0,0,0,Rotational
Ray Ellefson,ellefra01,0,-0.1,0,0,0,Rotational
Ray Epps,eppsra01,72,0.1,0,0,0,Rotational
Ray Felix,felixra01,16069,40.4,0,1,1,All-Star
Ray Kuka,kukara01,0,3.2,0,0,0,Rotational
Ray Lumpp,lumppra01,4161,24.3,0,0,0,Starter
Ray McCallum,mccalra01,3283,2.4,-0.5,0,0,Rotational
Ray Owes,owesra01,592,0.4,-0.4,0,0,Rotational
Ray Radziszewski,radzira01,6,-0.1,0,0,0,Rotational
Ray Ragelis,ragelra01,337,-0.4,0,0,0,Rotational
Ray Ramsey,ramsera01,0,0,0,0,0,Rotational
Ray Scott,scottra01,26155,37.2,0,0,0,Starter
