Name,Team,League,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,Est_Poss,USG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,ORTG,DRTG,OBPM,DBPM,BPM,PER ,OWS,DWS,WS,WS/40
Bilal Coulibaly,Paris,LNB Pro A,fr,27,542.222,4.111,7.667,0.532,1.111,2.556,0.452,3.0,5.111,0.571,1.778,3.0,0.595,1.778,5.0,6.778,1.778,1.667,0.444,2.0,3.333,11.111,0.618,0.333,0.391,10.987,30.393,12.295,23.053,18.75,51.282,4.611,9.988,101.133,101.7,-0.02,1.522,1.502,10.83,0.027,1.461,1.488,0.11
Dyson Daniels,Australia,Paris 2024,fr,3,96.667,6.0,11.444,0.52,2.333,5.556,0.417,3.667,6.0,0.615,1.333,2.333,0.6,1.889,6.889,8.778,6.0,1.333,0.889,3.667,2.333,15.667,0.628,0.485,0.204,16.138,27.824,8.142,19.796,15.134,130.435,2.299,14.453,97.081,101.233,1.065,1.239,2.304,17.0,0.013,0.353,0.366,0.152
Mohamed Diawara,Cholet,LNB Élite,fr,27,587.778,4.333,11.222,0.383,1.667,5.333,0.31,2.667,5.889,0.449,1.556,3.111,0.488,2.333,4.0,6.333,3.0,1.111,0.556,1.667,4.667,11.778,0.468,0.475,0.277,14.258,36.386,14.887,17.013,16.163,83.333,2.836,9.183,82.606,103.556,0.506,0.75,1.256,10.647,-0.071,1.553,1.482,0.101
Ousmane Dieng,New Zealand,NBL,au,23,520.0,6.889,17.222,0.398,2.222,8.222,0.271,4.667,9.0,0.514,1.556,2.333,0.667,1.0,5.222,6.222,2.111,1.222,0.556,2.778,2.889,17.444,0.478,0.477,0.135,21.027,51.668,6.143,21.387,15.29,41.126,3.003,6.349,82.963,102.389,1.031,1.167,2.197,10.788,-0.101,1.389,1.288,0.099
Luka Doncic,Real Madrid,Liga ACB,es,28,745.556,7.111,15.444,0.463,2.0,7.0,0.28,5.222,8.444,0.617,5.111,6.556,0.773,1.556,7.889,9.444,8.333,1.889,0.667,3.556,2.667,21.333,0.582,0.453,0.424,21.884,45.661,8.114,27.433,19.705,158.228,3.941,8.386,97.482,100.411,2.169,2.095,4.263,11.14,0.022,1.992,2.013,0.108
Noa Essengue,Ulm,EuroCup,eu,18,474.444,6.556,11.667,0.56,0.889,3.222,0.294,5.667,8.556,0.659,6.889,9.333,0.73,2.111,6.889,8.889,1.889,2.333,0.889,1.667,4.444,20.889,0.662,0.276,0.8,17.44,36.759,11.124,24.2,18.735,38.288,4.918,14.222,119.776,99.789,1.441,2.192,3.632,11.623,0.173,1.347,1.52,0.128
Simone Fontecchio,Baskonia,Liga ACB,es,33,935.556,6.889,14.778,0.465,3.0,7.444,0.41,3.778,7.333,0.519,2.667,3.222,0.851,1.444,4.667,6.222,2.667,0.889,0.667,2.778,3.0,19.444,0.6,0.504,0.218,18.973,37.181,7.076,15.241,12.193,51.948,1.742,8.715,102.483,103.078,1.437,0.519,1.956,10.599,0.057,2.417,2.473,0.106
Josh Giddey,Adelaide,NBL,au,28,998.889,5.111,11.889,0.427,1.333,4.444,0.293,3.778,7.444,0.506,2.111,3.0,0.691,1.444,7.778,9.111,9.333,1.333,0.556,4.111,1.889,13.556,0.513,0.374,0.252,17.32,26.972,5.624,20.187,14.189,229.508,2.076,8.749,78.265,101.611,0.892,1.137,2.029,10.664,-0.116,2.592,2.476,0.099
Rudy Gobert,Cholet,LNB Pro A,fr,27,680.0,5.778,8.111,0.718,0.0,0.222,0.0,5.778,7.889,0.736,3.222,4.667,0.704,3.778,5.778,9.444,0.667,1.222,3.222,2.667,3.778,14.889,0.732,0.027,0.575,12.831,28.304,20.833,21.242,20.833,14.925,2.696,69.295,116.037,98.033,-0.179,2.222,2.043,11.015,0.108,1.922,2.03,0.119
Hugo Gonzalez,Real Madrid,Liga ACB,es,29,456.667,5.111,11.333,0.444,1.222,4.667,0.271,3.778,6.667,0.565,3.333,4.333,0.773,2.111,4.889,7.0,2.667,1.333,0.889,2.0,6.667,14.667,0.554,0.412,0.382,15.24,53.766,18.62,28.747,24.696,65.574,4.704,14.572,96.238,103.4,0.738,1.955,2.693,11.139,0.008,1.253,1.26,0.11
Isaiah Hartenstein,Žalgiris,EuroLeague,eu,5,17.778,5.0,12.556,0.4,0.0,5.0,0.0,5.0,7.556,0.667,2.556,2.556,1.0,0.0,10.0,10.0,2.556,0.0,0.0,5.0,5.0,12.556,0.459,0.398,0.204,18.68,291.875,0.0,260.417,156.25,63.889,0.0,0.0,67.214,107.5,-0.213,19.333,19.121,31.188,-0.208,0.044,-0.163,-0.367
Ariel Hukporti,Melbourne,NBL,au,28,571.111,7.0,11.778,0.596,0.0,0.0,0.0,7.0,11.778,0.596,4.333,6.889,0.618,5.333,10.0,15.333,1.556,1.333,3.222,3.667,6.222,18.333,0.619,0.0,0.585,18.476,50.323,36.316,45.396,41.764,29.915,3.632,51.146,99.23,98.978,0.203,4.221,4.424,11.512,0.031,1.656,1.687,0.118
Joe Ingles,Maccabi Tel Aviv,Euroleague,eu,30,763.333,4.111,8.556,0.476,1.778,4.222,0.411,2.333,4.333,0.541,1.333,1.889,0.697,0.778,4.556,5.333,5.111,1.333,0.111,2.222,3.222,11.222,0.598,0.494,0.221,11.609,25.347,4.246,16.578,11.645,147.436,2.911,2.291,96.669,103.078,0.592,0.671,1.263,10.624,0.008,1.981,1.988,0.104
AJ Johnson,Illawarra,NBL,au,25,220.0,5.444,15.333,0.355,1.667,5.667,0.286,3.889,9.667,0.396,1.444,2.667,0.538,1.444,5.222,6.667,3.667,1.222,0.556,3.0,3.889,13.889,0.421,0.37,0.174,19.507,123.148,22.797,54.948,42.088,85.938,7.716,7.032,71.201,102.889,0.478,3.851,4.329,11.621,-0.186,0.639,0.453,0.082
Nikola Jokic,Serbia,Rio de Janeiro 2016,br,5,120.0,7.0,12.556,0.559,0.778,3.0,0.25,6.333,9.667,0.654,2.222,3.333,0.667,2.222,8.889,11.111,4.444,1.889,1.111,2.556,5.556,17.0,0.606,0.239,0.265,16.578,38.374,12.86,34.294,25.72,85.47,4.372,16.708,102.547,101.056,0.931,2.821,3.752,16.583,0.05,0.45,0.5,0.167
Nikola Jovic,Mega,ABA,0,25,772.222,5.778,13.556,0.428,2.444,6.778,0.356,3.444,6.778,0.5,2.778,3.778,0.754,1.222,5.111,6.333,4.889,0.778,0.556,3.889,3.556,16.889,0.555,0.5,0.279,19.107,34.365,5.496,15.321,11.391,109.453,1.399,7.825,88.393,103.833,1.092,0.415,1.507,10.652,-0.05,1.997,1.947,0.101
Maxi Kleber,Bayern Munich,EuroCup,eu,17,436.667,5.778,11.667,0.496,2.222,5.111,0.44,3.556,6.667,0.538,3.0,3.556,0.829,4.111,7.444,11.556,2.333,1.667,1.667,2.222,4.444,16.778,0.634,0.438,0.305,15.453,33.423,22.229,26.835,24.993,52.239,3.605,26.667,108.571,100.056,1.009,2.313,3.323,11.74,0.084,1.258,1.342,0.123
Vit Krejci,Zaragoza,Liga ACB,es,18,152.222,6.444,10.556,0.611,1.444,4.333,0.333,5.0,6.111,0.81,2.667,3.778,0.692,1.778,3.778,5.556,2.333,0.889,0.333,2.889,9.333,16.889,0.691,0.411,0.358,15.107,99.241,29.197,41.363,36.496,47.945,5.839,5.797,111.798,106.844,0.851,2.476,3.327,13.526,0.102,0.442,0.543,0.143
Karlo Matkovic,Mega,ABA,0,25,610.0,8.778,14.444,0.606,0.0,0.222,0.0,8.778,14.222,0.615,3.556,5.0,0.71,5.0,6.111,11.111,2.0,0.889,2.0,2.889,5.556,21.111,0.634,0.015,0.346,19.533,44.475,28.461,23.19,25.299,31.915,2.024,26.667,108.077,101.956,0.852,1.689,2.541,11.333,0.102,1.669,1.772,0.116
